TICKET_NMBR,no_of_times_reassigned,STATUS,PRIORITY,BUSINESS_COMPLETION_HRS
IN10040507,3,RESOLVED,Low,608.03
IN10040508,2,RESOLVED,Low,54.6
IN10040511,2,RESOLVED,Medium,0.0
IN10040513,2,RESOLVED,Medium,0.0
IN10040518,2,RESOLVED,Low,3.52
IN10040519,4,RESOLVED,Low,4.72
IN10040522,3,RESOLVED,Medium,7.38
IN10040524,2,RESOLVED,Medium,43.18
IN10040536,5,RESOLVED,Medium,102.5
IN10040538,2,RESOLVED,Medium,4.1
IN10040540,3,RESOLVED,Medium,17.22
IN10040541,2,RESOLVED,Low,3.9
IN10040552,2,RESOLVED,Low,3.52
IN10040553,3,RESOLVED,Medium,13.47
IN10040554,4,RESOLVED,Medium,20.79
IN10040556,2,RESOLVED,Medium,47.85
IN10040557,3,RESOLVED,Medium,1.1
IN10040558,2,RESOLVED,Medium,12.33
IN10040561,2,RESOLVED,Low,17.27
IN10040563,3,RESOLVED,Medium,300.5
IN10040566,2,RESOLVED,High,28.32
IN10040568,3,RESOLVED,High,0.5
IN10040573,2,RESOLVED,Low,6.6
IN10040574,2,,Low,341.34
IN10040577,2,RESOLVED,Medium,1.78
IN10040579,2,RESOLVED,Medium,40.25
IN10040581,3,RESOLVED,Low,296.3
IN10040583,2,RESOLVED,Medium,3.25
IN10040586,2,RESOLVED,Low,18.92
IN10040589,3,RESOLVED,Medium,26.28
IN10040590,3,RESOLVED,Medium,4.67
IN10040591,2,RESOLVED,Medium,3.23
IN10040592,2,RESOLVED,Medium,3.22
IN10040593,3,RESOLVED,Medium,3.12
IN10040596,2,RESOLVED,Low,6.95
IN10040599,3,RESOLVED,Medium,152.18
IN10040600,4,RESOLVED,Low,890.0
IN10040602,3,RESOLVED,Low,7.65
IN10040618,2,RESOLVED,Medium,43.83
IN10040629,3,RESOLVED,Medium,6.25
IN10040631,2,RESOLVED,Low,9.7
IN10040632,2,RESOLVED,Medium,9.28
IN10040638,6,RESOLVED,Low,276.33
IN10040654,2,RESOLVED,Low,4.7
IN10040655,2,RESOLVED,Low,672.75
IN10040658,2,RESOLVED,Low,110.0
IN10040660,5,RESOLVED,Low,40.12
IN10040663,2,RESOLVED,Low,21.03
IN10040667,2,RESOLVED,Low,4.42
IN10040669,3,RESOLVED,Low,28.97
IN10040672,2,RESOLVED,Medium,9.07
IN10040684,2,RESOLVED,Medium,0.93
IN10040692,3,RESOLVED,Low,4.5
IN10040694,2,RESOLVED,Medium,69.98
IN10040696,2,RESOLVED,Medium,218.68
IN10040697,2,RESOLVED,Medium,0.88
IN10040708,2,RESOLVED,Low,11.38
IN10040712,2,RESOLVED,Low,14.2
IN10040722,2,RESOLVED,Low,58.56
IN10040727,2,RESOLVED,Low,334.18
IN10040732,3,RESOLVED,Low,176.53
IN10040747,2,RESOLVED,Medium,5.8
IN10040747,2,RESOLVED,Medium,5.8
IN10040757,3,RESOLVED,Low,609.15
IN10040763,2,RESOLVED,Low,206.23
IN10040765,2,RESOLVED,Medium,20.0
IN10040765,2,RESOLVED,Medium,20.0
IN10040766,2,RESOLVED,Low,3.92
IN10040769,2,RESOLVED,Low,25.12
IN10040772,11,RESOLVED,Medium,3942.05
IN10040778,2,RESOLVED,Low,2.12
IN10040784,2,RESOLVED,Medium,3.55
IN10040793,2,RESOLVED,Medium,71.5
IN10040804,2,RESOLVED,Medium,71.48
IN10040813,2,RESOLVED,Low,0.0
IN10040817,2,RESOLVED,Low,9.23
IN10040818,2,RESOLVED,Medium,42.35
IN10040819,2,RESOLVED,Low,4.18
IN10040820,2,RESOLVED,Medium,0.0
IN10040821,2,RESOLVED,Medium,0.0
IN10040822,2,RESOLVED,Medium,0.0
IN10040823,6,RESOLVED,Low,211.72
IN10040834,2,RESOLVED,Low,0.0
IN10040836,2,RESOLVED,Low,0.0
IN10040846,5,RESOLVED,Low,63.65
IN10040849,3,RESOLVED,Low,13.48
IN10040853,2,RESOLVED,Low,11.35
IN10040856,2,RESOLVED,Medium,13.23
IN10040858,3,RESOLVED,Low,42.42
IN10040865,3,RESOLVED,Low,30.0
IN10040867,3,RESOLVED,Low,160.93
IN10040870,2,RESOLVED,Low,67.05
IN10040874,2,RESOLVED,Low,8.35
IN10040878,2,RESOLVED,Medium,0.0
IN10040879,2,RESOLVED,Medium,0.0
IN10040880,2,RESOLVED,Low,10.0
IN10040889,3,RESOLVED,Low,1986.93
IN10040892,2,RESOLVED,Low,10.52
IN10040893,3,RESOLVED,Low,84.63
IN10040894,2,RESOLVED,Low,231.62
IN10040895,4,RESOLVED,High,19.41
IN10040899,2,RESOLVED,Low,231.63
IN10040900,2,RESOLVED,Medium,42.55
IN10040926,2,RESOLVED,Medium,178.7
IN10040927,2,RESOLVED,Low,62.75
IN10040931,3,RESOLVED,Medium,10.23
IN10040935,2,RESOLVED,Medium,7.33
IN10040936,2,RESOLVED,Low,3.33
IN10040941,2,RESOLVED,Low,88.27
IN10040943,2,RESOLVED,Low,251.92
IN10040944,2,RESOLVED,Low,21.88
IN10040950,3,RESOLVED,Medium,43.85
IN10040952,3,RESOLVED,Medium,28.62
IN10040953,2,RESOLVED,Medium,28.6
IN10040960,2,RESOLVED,Medium,0.73
IN10040965,2,RESOLVED,Low,0.53
IN10040965,2,RESOLVED,Low,0.53
IN10040970,2,RESOLVED,Low,0.23
IN10040973,2,RESOLVED,Medium,1.07
IN10040974,4,RESOLVED,Low,13.55
IN10040976,2,RESOLVED,Low,13.41
IN10040982,2,RESOLVED,Low,21.92
IN10040993,2,RESOLVED,Low,13.7
IN10041001,2,RESOLVED,Low,73.5
IN10041007,2,RESOLVED,Low,8.8
IN10041013,3,RESOLVED,Low,128.23
IN10041018,2,RESOLVED,Low,20.02
IN10041020,3,RESOLVED,Low,12.21
IN10041021,2,RESOLVED,Medium,1.37
IN10041023,3,RESOLVED,Low,16.67
IN10041029,3,RESOLVED,Low,5.54
IN10041030,2,RESOLVED,Low,2.7
IN10041034,2,RESOLVED,Medium,30.97
IN10041035,3,RESOLVED,Low,4.07
IN10041049,3,RESOLVED,Low,13.6
IN10041055,2,RESOLVED,Low,38.9
IN10041057,2,RESOLVED,Low,233.79
IN10041062,4,RESOLVED,Low,231.72
IN10041076,2,RESOLVED,Low,13.2
IN10041081,2,RESOLVED,Low,74.28
IN10041085,3,RESOLVED,Low,51.22
IN10041098,2,RESOLVED,Low,0.77
IN10041101,2,RESOLVED,Low,4.65
IN10041105,2,RESOLVED,High,0.73
IN10041110,2,RESOLVED,Low,8.9
IN10041111,2,RESOLVED,Low,76.75
IN10041113,5,RESOLVED,Medium,13.31
IN10041116,2,RESOLVED,Medium,38.99
IN10041117,2,RESOLVED,Low,88.15
IN10041118,2,RESOLVED,Low,19.47
IN10041120,3,RESOLVED,Low,20.98
IN10041122,2,RESOLVED,Medium,26.67
IN10041125,3,RESOLVED,Low,352.0
IN10041129,4,RESOLVED,Low,54.8
IN10041130,5,RESOLVED,Low,136.47
IN10041131,2,RESOLVED,Low,3.57
IN10041132,2,RESOLVED,Low,230.93
IN10041133,2,RESOLVED,Low,3.52
IN10041154,2,RESOLVED,Low,18.45
IN10041155,2,RESOLVED,Medium,3.92
IN10041170,3,RESOLVED,Low,17.6
IN10041179,3,RESOLVED,Medium,15.73
IN10041185,2,RESOLVED,Low,3.12
IN10041192,2,RESOLVED,Low,57.37
IN10041193,3,RESOLVED,Low,9.48
IN10041194,2,RESOLVED,Low,180.68
IN10041195,2,RESOLVED,Low,57.38
IN10041216,3,RESOLVED,Low,6.22
IN10041217,3,RESOLVED,Low,6.12
IN10041226,4,RESOLVED,Medium,42.7
IN10041229,2,RESOLVED,Low,65.32
IN10041232,2,RESOLVED,Low,1.28
IN10041234,2,RESOLVED,Medium,5.42
IN10041235,3,RESOLVED,Low,136.9
IN10041238,2,RESOLVED,Low,0.55
IN10041247,2,RESOLVED,Low,24.77
IN10041249,2,RESOLVED,Low,1.97
IN10041251,2,RESOLVED,Low,10.0
IN10041253,3,RESOLVED,Low,333.95
IN10041258,2,RESOLVED,Low,117.55
IN10041263,2,RESOLVED,Low,2.92
IN10041265,2,RESOLVED,Medium,40.0
IN10041267,3,RESOLVED,Low,6.13
IN10041268,2,RESOLVED,Low,98.77
IN10041278,2,RESOLVED,Low,101.35
IN10041282,2,RESOLVED,Low,53.93
IN10041286,2,RESOLVED,Medium,1.92
IN10041289,2,RESOLVED,Low,23.27
IN10041291,2,RESOLVED,Medium,12.12
IN10041296,2,RESOLVED,Medium,5.57
IN10041298,2,RESOLVED,Low,1.43
IN10041300,2,RESOLVED,Low,247.14
IN10041301,2,RESOLVED,Low,31.89
IN10041302,2,RESOLVED,Medium,25.14
IN10041305,3,RESOLVED,Low,3.58
IN10041307,2,RESOLVED,Medium,2.97
IN10041313,2,RESOLVED,High,0.43
IN10041318,2,RESOLVED,Low,0.82
IN10041325,2,RESOLVED,Medium,0.0
IN10041332,2,RESOLVED,High,44.19
IN10041333,2,RESOLVED,Medium,25.65
IN10041334,2,RESOLVED,Low,93.68
IN10041337,2,RESOLVED,Low,1.02
IN10041338,2,RESOLVED,Low,413.12
IN10041347,2,RESOLVED,Low,0.0
IN10041348,4,RESOLVED,Low,11.1
IN10041353,2,RESOLVED,Low,0.88
IN10041355,2,RESOLVED,Low,6.1
IN10041357,2,RESOLVED,Low,0.95
IN10041359,2,RESOLVED,Medium,51.32
IN10041361,3,RESOLVED,Low,84.62
IN10041364,2,RESOLVED,Low,147.68
IN10041365,2,RESOLVED,Low,228.28
IN10041367,2,RESOLVED,Low,70.0
IN10041367,2,RESOLVED,Low,70.0
IN10041374,3,RESOLVED,Low,39.07
IN10041376,2,RESOLVED,Low,4.8
IN10041376,2,RESOLVED,Low,4.8
IN10041386,2,RESOLVED,Low,138.73
IN10041394,2,RESOLVED,Medium,0.23
IN10041398,2,RESOLVED,High,7.93
IN10041400,3,RESOLVED,Low,97.02
IN10041402,3,RESOLVED,Medium,541.09
IN10041404,3,RESOLVED,Low,144.4
IN10041406,3,RESOLVED,Low,232.19
IN10041408,2,RESOLVED,Low,14.05
IN10041408,2,RESOLVED,Low,14.05
IN10041412,2,RESOLVED,Low,43.13
IN10041415,2,RESOLVED,Low,10.5
IN10041422,2,RESOLVED,Medium,2.38
IN10041423,2,RESOLVED,Medium,2.38
IN10041426,3,RESOLVED,Low,13.15
IN10041430,2,RESOLVED,High,0.74
IN10041437,3,RESOLVED,Low,11.15
IN10041444,3,RESOLVED,Low,789.45
IN10041445,2,RESOLVED,Low,241.05
IN10041452,2,RESOLVED,Low,0.63
IN10041453,3,RESOLVED,Medium,3.95
IN10041455,2,RESOLVED,High,9.67
IN10041458,2,RESOLVED,Medium,1.45
IN10041461,2,RESOLVED,Low,1.97
IN10041462,3,RESOLVED,Low,19.83
IN10041462,3,RESOLVED,Low,19.83
IN10041466,4,RESOLVED,Low,729.43
IN10041468,2,RESOLVED,Low,19.58
IN10041470,2,RESOLVED,High,478.26
IN10041474,2,RESOLVED,Low,20.77
IN10041480,2,RESOLVED,Low,119.15
IN10041481,2,RESOLVED,Medium,15.62
IN10041483,2,RESOLVED,Medium,10.34
IN10041484,4,RESOLVED,Low,89.7
IN10041486,2,RESOLVED,Medium,1.3
IN10041489,4,RESOLVED,Low,420.83
IN10041490,2,RESOLVED,Low,0.0
IN10041498,3,RESOLVED,Medium,1336.62
IN10041501,2,RESOLVED,Low,8.78
IN10041504,2,RESOLVED,Low,51.63
IN10041511,2,RESOLVED,Low,18.45
IN10041514,2,RESOLVED,Low,4.92
IN10041519,2,RESOLVED,Low,0.5
IN10041537,2,RESOLVED,Low,1.43
IN10041550,4,RESOLVED,Low,12.92
IN10041556,2,RESOLVED,Low,27.5
IN10041557,2,RESOLVED,High,0.4
IN10041558,3,RESOLVED,Low,21.03
IN10041560,3,RESOLVED,Low,85.44
IN10041562,4,RESOLVED,Low,10.15
IN10041566,2,RESOLVED,Low,172.77
IN10041570,2,RESOLVED,High,526.2
IN10041572,2,RESOLVED,Low,114.8
IN10041576,2,RESOLVED,Low,204.53
IN10041584,4,RESOLVED,Low,31.65
IN10041585,3,RESOLVED,Low,32.47
IN10041586,4,RESOLVED,Low,177.58
IN10041588,3,RESOLVED,Low,177.57
IN10041592,3,RESOLVED,Low,1702.37
IN10041593,4,RESOLVED,Low,1702.42
IN10041594,3,RESOLVED,Low,21.48
IN10041596,2,RESOLVED,Low,113.65
IN10041600,3,RESOLVED,Low,165.2
IN10041603,3,RESOLVED,Low,4.18
IN10041605,2,RESOLVED,Low,173.03
IN10041606,2,RESOLVED,Low,1.38
IN10041607,2,RESOLVED,Low,40.08
IN10041608,4,RESOLVED,Low,56.28
IN10041609,2,RESOLVED,Low,27.98
IN10041610,3,RESOLVED,Medium,19.27
IN10041616,2,RESOLVED,Low,1.73
IN10041618,3,RESOLVED,Low,431.75
IN10041627,2,,Low,10.62
IN10041628,3,RESOLVED,Low,172.07
IN10041629,3,RESOLVED,Low,72.83
IN10041633,6,RESOLVED,High,649.85
IN10041636,3,RESOLVED,Low,511.62
IN10041637,3,RESOLVED,Low,573.43
IN10041638,6,RESOLVED,Low,84.75
IN10041638,6,RESOLVED,Low,84.75
IN10041639,2,RESOLVED,Medium,1.55
IN10041640,6,,Low,589.7
IN10041642,4,RESOLVED,Low,40.33
IN10041644,3,RESOLVED,Low,75.93
IN10041652,3,RESOLVED,Medium,453.96
IN10041655,4,RESOLVED,Low,6.57
IN10041661,3,RESOLVED,Low,4600.0
IN10041666,2,RESOLVED,Low,28.13
IN10041668,3,RESOLVED,Low,17.7
IN10041672,3,RESOLVED,Low,16.5
IN10041674,2,RESOLVED,Low,37.55
IN10041675,7,RESOLVED,Low,144.68
IN10041676,2,RESOLVED,Low,101.95
IN10041679,3,RESOLVED,Low,102.86
IN10041680,2,RESOLVED,Low,1.72
IN10041684,2,RESOLVED,Low,196.27
IN10041688,2,RESOLVED,High,1.3
IN10041690,3,RESOLVED,Low,12.32
IN10041696,3,RESOLVED,High,167.52
IN10041698,2,RESOLVED,Low,3.52
IN10041703,2,RESOLVED,Low,36.99
IN10041706,2,RESOLVED,Low,10.85
IN10041707,2,RESOLVED,Low,1.65
IN10041709,2,RESOLVED,Medium,406.78
IN10041710,4,RESOLVED,Low,123.3
IN10041723,4,RESOLVED,Low,53.12
IN10041725,2,RESOLVED,Low,117.05
IN10041728,4,RESOLVED,Low,28.17
IN10041729,2,RESOLVED,Low,5.32
IN10041732,4,RESOLVED,Medium,13.05
IN10041734,2,RESOLVED,Low,2.32
IN10041737,2,RESOLVED,Low,0.0
IN10041744,2,RESOLVED,Medium,12.27
IN10041747,5,RESOLVED,Medium,174.23
IN10041760,2,RESOLVED,Medium,0.0
IN10041761,5,RESOLVED,Medium,30.65
IN10041762,2,RESOLVED,Medium,53.28
IN10041768,2,RESOLVED,Low,6.7
IN10041769,2,RESOLVED,Low,5.95
IN10041770,3,RESOLVED,Low,23.77
IN10041771,3,,Low,157.55
IN10041772,2,RESOLVED,Medium,0.0
IN10041776,2,RESOLVED,Medium,26.38
IN10041779,2,RESOLVED,Low,40.6
IN10041780,2,RESOLVED,Low,15.38
IN10041781,2,RESOLVED,Low,15.37
IN10041784,2,RESOLVED,Medium,5.73
IN10041785,3,RESOLVED,Low,22.17
IN10041789,2,RESOLVED,Low,370.63
IN10041791,2,RESOLVED,Medium,16.05
IN10041793,2,RESOLVED,Low,0.0
IN10041794,2,RESOLVED,Low,11.63
IN10041795,2,RESOLVED,Low,1.38
IN10041798,2,RESOLVED,Low,26.1
IN10041801,2,RESOLVED,Low,27.82
IN10041807,2,RESOLVED,Medium,2.03
IN10041810,2,RESOLVED,Medium,460.76
IN10041818,3,RESOLVED,Medium,12.85
IN10041827,2,RESOLVED,Low,8.51
IN10041828,2,RESOLVED,Low,1.05
IN10041830,2,RESOLVED,Medium,2.85
IN10041837,2,RESOLVED,Low,8.17
IN10041838,2,RESOLVED,Medium,12.65
IN10041839,2,RESOLVED,Medium,9.33
IN10041842,2,RESOLVED,Low,17.77
IN10041846,2,RESOLVED,Low,86.76
IN10041848,2,RESOLVED,Low,14.63
IN10041854,3,RESOLVED,Low,18.1
IN10041861,2,RESOLVED,High,9.91
IN10041864,2,RESOLVED,Low,1.77
IN10041883,2,RESOLVED,Low,5.73
IN10041884,4,RESOLVED,Low,29.35
IN10041888,2,RESOLVED,Medium,0.48
IN10041889,2,RESOLVED,Medium,0.42
IN10041891,2,RESOLVED,Medium,0.4
IN10041892,3,RESOLVED,Medium,5.0
IN10041913,3,RESOLVED,Low,4.3
IN10041916,2,RESOLVED,Low,21.55
IN10041916,2,RESOLVED,Low,21.55
IN10041935,2,RESOLVED,Low,36.22
IN10041936,2,RESOLVED,Low,812.77
IN10041945,2,RESOLVED,Low,0.0
IN10041946,2,RESOLVED,Low,63.2
IN10041956,2,RESOLVED,Low,14.47
IN10041957,2,RESOLVED,Low,5.38
IN10041958,2,RESOLVED,Low,0.02
IN10041959,2,RESOLVED,Low,0.08
IN10041960,2,RESOLVED,Low,0.1
IN10041969,3,RESOLVED,Medium,85.95
IN10041971,2,RESOLVED,Medium,19.56
IN10041977,2,RESOLVED,High,0.99
IN10041978,2,RESOLVED,Low,1.92
IN10041979,2,RESOLVED,Low,164.95
IN10041980,3,RESOLVED,Low,20.8
IN10041983,2,RESOLVED,Low,6.45
IN10041983,2,RESOLVED,Low,6.45
IN10041984,2,RESOLVED,Low,3.73
IN10041986,2,RESOLVED,Low,153.52
IN10041988,2,RESOLVED,Low,0.93
IN10041994,2,RESOLVED,Low,18.99
IN10041995,2,RESOLVED,Medium,407.0
IN10042001,4,RESOLVED,Low,319.24
IN10042004,2,RESOLVED,Low,20.89
IN10042007,2,RESOLVED,Low,152.86
IN10042014,2,RESOLVED,Low,121.43
IN10042014,2,RESOLVED,Low,121.43
IN10042015,2,RESOLVED,Medium,15.88
IN10042018,2,RESOLVED,Low,8.85
IN10042026,2,RESOLVED,Medium,11.53
IN10042027,2,RESOLVED,Low,0.77
IN10042030,3,RESOLVED,Low,192.61
IN10042031,3,RESOLVED,Low,2.72
IN10042039,2,RESOLVED,Low,20.85
IN10042040,2,RESOLVED,Low,0.0
IN10042047,3,RESOLVED,Low,27.63
IN10042050,2,RESOLVED,Low,1.12
IN10042057,2,RESOLVED,Low,8.33
IN10042058,4,RESOLVED,Low,24.45
IN10042058,4,RESOLVED,Low,24.45
IN10042073,2,RESOLVED,Low,189.3
IN10042081,4,RESOLVED,Low,12.05
IN10042082,2,RESOLVED,Low,138.52
IN10042083,2,RESOLVED,Low,1.52
IN10042098,2,RESOLVED,Low,33.38
IN10042100,2,RESOLVED,Medium,4.15
IN10042104,4,RESOLVED,Low,146.12
IN10042108,2,RESOLVED,Low,15.45
IN10042111,2,RESOLVED,Low,258.08
IN10042116,3,RESOLVED,Low,20.63
IN10042120,2,RESOLVED,Low,21.58
IN10042122,2,RESOLVED,Low,122.59
IN10042127,2,RESOLVED,Low,791.81
IN10042128,2,RESOLVED,Low,0.82
IN10042137,2,RESOLVED,Low,34.1
IN10042141,2,RESOLVED,Low,1.35
IN10042143,2,RESOLVED,Low,62.72
IN10042146,4,RESOLVED,Low,118.97
IN10042147,2,RESOLVED,Low,6.0
IN10042149,2,RESOLVED,Low,11.02
IN10042156,2,RESOLVED,Low,7.92
IN10042164,4,RESOLVED,High,15.5
IN10042167,2,RESOLVED,Low,41.57
IN10042168,3,RESOLVED,Low,133.98
IN10042169,5,RESOLVED,Low,1162.82
IN10042174,4,RESOLVED,Low,172.62
IN10042175,3,RESOLVED,High,97.58
IN10042178,2,RESOLVED,Low,41.52
IN10042184,2,RESOLVED,Low,24.03
IN10042185,2,RESOLVED,Low,26.95
IN10042186,3,RESOLVED,Low,124.78
IN10042187,4,RESOLVED,Low,23.72
IN10042188,3,RESOLVED,Low,54.83
IN10042190,2,RESOLVED,Low,87.63
IN10042198,2,RESOLVED,Medium,0.0
IN10042210,2,RESOLVED,Low,20.02
IN10042213,3,RESOLVED,Low,96.33
IN10042217,2,RESOLVED,Low,366.03
IN10042218,2,RESOLVED,Low,22.78
IN10042221,2,RESOLVED,Medium,127.77
IN10042222,2,RESOLVED,Low,51.02
IN10042223,2,RESOLVED,Low,9.12
IN10042229,2,RESOLVED,Low,96.48
IN10042237,3,RESOLVED,Low,685.25
IN10042245,3,,Low,475.5
IN10042248,3,RESOLVED,High,5.77
IN10042250,2,RESOLVED,Low,14.68
IN10042255,2,RESOLVED,Medium,3.42
IN10042256,2,,Low,383.76
IN10042260,2,RESOLVED,Low,9.9
IN10042264,4,RESOLVED,Medium,10.23
IN10042266,2,RESOLVED,Low,98.83
IN10042273,2,RESOLVED,Low,384.53
IN10042274,2,RESOLVED,Medium,1.68
IN10042280,2,RESOLVED,Low,14.7
IN10042281,2,RESOLVED,Low,0.38
IN10042287,2,RESOLVED,Low,295.68
IN10042289,2,RESOLVED,Medium,1.48
IN10042299,6,RESOLVED,Low,1406.57
IN10042305,2,RESOLVED,Low,10.63
IN10042319,4,RESOLVED,Medium,24.95
IN10042322,3,RESOLVED,Low,1.78
IN10042326,2,RESOLVED,Medium,19.23
IN10042332,2,RESOLVED,Low,7.67
IN10042335,5,RESOLVED,Medium,48.3
IN10042336,5,RESOLVED,Low,463.65
IN10042337,4,RESOLVED,Low,402.12
IN10042338,2,RESOLVED,Medium,65.08
IN10042340,3,RESOLVED,Low,9.12
IN10042345,2,RESOLVED,Low,3.07
IN10042356,2,RESOLVED,Medium,35.85
IN10042359,3,RESOLVED,Low,98.11
IN10042366,2,RESOLVED,Medium,1.27
IN10042374,6,RESOLVED,Low,396.62
IN10042375,2,RESOLVED,Low,64.48
IN10042376,2,RESOLVED,Medium,10.0
IN10042377,2,RESOLVED,Low,100.0
IN10042385,2,RESOLVED,Low,43.55
IN10042393,2,RESOLVED,Low,0.0
IN10042395,2,RESOLVED,Medium,3.27
IN10042397,2,RESOLVED,Medium,0.43
IN10042398,2,RESOLVED,Medium,0.3
IN10042419,2,RESOLVED,Low,0.7
IN10042425,6,RESOLVED,Low,104.5
IN10042426,2,RESOLVED,Low,13.78
IN10042435,2,RESOLVED,Low,96.17
IN10042439,6,RESOLVED,Low,171.77
IN10042440,4,RESOLVED,Low,0.0
IN10042441,2,RESOLVED,Low,93.95
IN10042443,2,RESOLVED,Low,86.52
IN10042443,2,RESOLVED,Low,86.52
IN10042449,2,RESOLVED,Low,0.0
IN10042450,2,RESOLVED,Medium,0.0
IN10042451,2,RESOLVED,Medium,0.0
IN10042452,2,RESOLVED,Medium,0.0
IN10042455,2,RESOLVED,Medium,5.75
IN10042456,2,RESOLVED,Medium,5.82
IN10042461,2,RESOLVED,Low,1002.38
IN10042469,2,RESOLVED,Low,9.46
IN10042473,2,RESOLVED,Low,105.52
IN10042477,2,RESOLVED,Low,381.63
IN10042482,2,RESOLVED,Low,67.59
IN10042485,3,RESOLVED,Low,19.85
IN10042487,4,RESOLVED,Low,42.12
IN10042488,3,RESOLVED,Medium,12.11
IN10042489,3,RESOLVED,Low,87.12
IN10042492,2,RESOLVED,Medium,1.18
IN10042493,2,RESOLVED,Medium,1.2
IN10042494,2,RESOLVED,Medium,1.33
IN10042495,2,RESOLVED,Medium,1.13
IN10042496,2,RESOLVED,Medium,1.12
IN10042497,2,RESOLVED,Medium,1.13
IN10042499,2,RESOLVED,Medium,1.12
IN10042502,2,RESOLVED,Medium,1.12
IN10042503,2,RESOLVED,Medium,1.12
IN10042504,2,RESOLVED,Medium,1.12
IN10042505,2,RESOLVED,Medium,1.12
IN10042506,2,RESOLVED,Medium,1.12
IN10042508,2,RESOLVED,Medium,1.25
IN10042510,2,RESOLVED,Medium,1.05
IN10042511,2,RESOLVED,Medium,1.05
IN10042512,2,RESOLVED,Medium,0.53
IN10042513,2,RESOLVED,Medium,1.03
IN10042514,2,RESOLVED,Medium,1.73
IN10042515,2,RESOLVED,Medium,1.28
IN10042516,2,RESOLVED,Medium,1.48
IN10042518,2,RESOLVED,Medium,1.15
IN10042523,5,RESOLVED,Medium,30.93
IN10042527,2,RESOLVED,Low,73.73
IN10042532,5,RESOLVED,Low,51.98
IN10042534,3,RESOLVED,Medium,85.0
IN10042535,2,RESOLVED,Low,28.05
IN10042536,3,RESOLVED,Medium,80.07
IN10042537,5,RESOLVED,Medium,240.0
IN10042541,2,RESOLVED,Low,38.2
IN10042561,3,RESOLVED,Low,2.03
IN10042566,4,RESOLVED,Low,206.43
IN10042570,3,RESOLVED,Low,22.2
IN10042572,2,RESOLVED,Low,17.3
IN10042573,2,RESOLVED,Medium,0.0
IN10042579,2,RESOLVED,Low,0.0
IN10042604,3,RESOLVED,Medium,84.3
IN10042605,2,RESOLVED,Low,0.0
IN10042612,2,RESOLVED,Low,3.5
IN10042615,5,RESOLVED,Low,136.47
IN10042619,2,RESOLVED,Low,8.72
IN10042627,6,RESOLVED,Low,226.37
IN10042627,6,RESOLVED,Low,226.37
IN10042631,2,RESOLVED,Medium,102.77
IN10042634,2,RESOLVED,Low,11.67
IN10042641,2,RESOLVED,Low,11.62
IN10042643,2,RESOLVED,Medium,32.78
IN10042644,2,RESOLVED,Medium,31.67
IN10042650,3,RESOLVED,Low,3.43
IN10042650,3,RESOLVED,Low,3.43
IN10042651,3,RESOLVED,Low,103.33
IN10042652,2,RESOLVED,Low,24.55
IN10042660,3,RESOLVED,Low,166.88
IN10042662,3,RESOLVED,Low,11.92
IN10042665,2,RESOLVED,Medium,95.24
IN10042666,4,RESOLVED,Low,431.75
IN10042675,2,RESOLVED,Medium,149.9
IN10042677,2,RESOLVED,Low,97.08
IN10042684,2,RESOLVED,Medium,0.45
IN10042687,2,RESOLVED,Low,2.75
IN10042688,3,RESOLVED,Low,45.49
IN10042689,5,RESOLVED,Low,199.67
IN10042696,4,RESOLVED,Low,254.73
IN10042697,5,RESOLVED,Medium,165.35
IN10042700,2,RESOLVED,Low,151.09
IN10042702,6,RESOLVED,Medium,97.3
IN10042704,4,RESOLVED,Low,48.72
IN10042708,2,RESOLVED,Low,6.38
IN10042709,2,RESOLVED,Low,16.15
IN10042720,2,RESOLVED,Low,0.82
IN10042729,2,RESOLVED,Medium,189.41
IN10042730,3,RESOLVED,Medium,48.37
IN10042731,2,RESOLVED,Low,189.28
IN10042737,4,RESOLVED,Low,40.7
IN10042738,2,RESOLVED,Low,8.35
IN10042739,4,RESOLVED,Medium,124.2
IN10042745,3,RESOLVED,Low,38.43
IN10042750,2,RESOLVED,Low,11.55
IN10042752,2,RESOLVED,Low,14.5
IN10042757,3,RESOLVED,Low,36.23
IN10042761,2,RESOLVED,Low,438.03
IN10042762,6,RESOLVED,Medium,102.18
IN10042763,2,RESOLVED,Low,0.8
IN10042767,2,RESOLVED,Low,3.85
IN10042768,2,RESOLVED,Medium,47.33
IN10042769,2,RESOLVED,Medium,6.18
IN10042775,2,RESOLVED,Medium,388.73
IN10042779,2,RESOLVED,Low,3.9
IN10042788,2,RESOLVED,Medium,70.27
IN10042792,2,RESOLVED,Low,244.48
IN10042796,2,RESOLVED,Low,116.6
IN10042801,4,RESOLVED,Low,327.5
IN10042804,2,RESOLVED,Medium,15.27
IN10042805,2,RESOLVED,Low,45.0
IN10042807,3,RESOLVED,Low,65.85
IN10042815,2,RESOLVED,Medium,1.18
IN10042817,2,RESOLVED,Medium,11.03
IN10042826,2,RESOLVED,Low,3.13
IN10042827,2,RESOLVED,Medium,64.36
IN10042841,2,RESOLVED,Medium,28.87
IN10042843,2,RESOLVED,Low,62.99
IN10042848,4,RESOLVED,Low,9.1
IN10042849,3,RESOLVED,Low,3.27
IN10042850,3,RESOLVED,Low,7.56
IN10042853,3,RESOLVED,Medium,327.07
IN10042862,2,RESOLVED,Low,4.97
